customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,0,"2006-02-14 22:04:36","2006-02-15 04:57:20"
64,2,JUDITH,COX,JUDITH.COX@sakilacustomer.org,68,0,"2006-02-14 22:04:36","2006-02-15 04:57:20"
124,1,SHEILA,WELLS,SHEILA.WELLS@sakilacustomer.org,128,0,"2006-02-14 22:04:36","2006-02-15 04:57:20"
169,2,ERICA,MATTHEWS,ERICA.MATTHEWS@sakilacustomer.org,173,0,"2006-02-14 22:04:36","2006-02-15 04:57:20"
241,2,HEIDI,LARSON,HEIDI.LARSON@sakilacustomer.org,245,0,"2006-02-14 22:04:36","2006-02-15 04:57:20"
271,1,PENNY,NEAL,PENNY.NEAL@sakilacustomer.org,276,0,"2006-02-14 22:04:36","2006-02-15 04:57:20"
315,2,KENNETH,GOODEN,KENNETH.GOODEN@sakilacustomer.org,320,0,"2006-02-14 22:04:37","2006-02-15 04:57:20"
368,1,HARRY,ARCE,HARRY.ARCE@sakilacustomer.org,373,0,"2006-02-14 22:04:37","2006-02-15 04:57:20"
406,1,NATHAN,RUNYON,NATHAN.RUNYON@sakilacustomer.org,411,0,"2006-02-14 22:04:37","2006-02-15 04:57:20"
446,2,THEODORE,CULP,THEODORE.CULP@sakilacustomer.org,451,0,"2006-02-14 22:04:37","2006-02-15 04:57:20"
482,1,MAURICE,CRAWLEY,MAURICE.CRAWLEY@sakilacustomer.org,487,0,"2006-02-14 22:04:37","2006-02-15 04:57:20"
510,2,BEN,EASTER,BEN.EASTER@sakilacustomer.org,515,0,"2006-02-14 22:04:37","2006-02-15 04:57:20"
534,1,CHRISTIAN,JUNG,CHRISTIAN.JUNG@sakilacustomer.org,540,0,"2006-02-14 22:04:37","2006-02-15 04:57:20"
558,1,JIMMIE,EGGLESTON,JIMMIE.EGGLESTON@sakilacustomer.org,564,0,"2006-02-14 22:04:37","2006-02-15 04:57:20"
592,1,TERRANCE,ROUSH,TERRANCE.ROUSH@sakilacustomer.org,598,0,"2006-02-14 22:04:37","2006-02-15 04:57:20"
